"","x"
"1","Tb927.1.720"
"2","Tb927.1.760"
"3","Tb927.1.1050"
"4","Tb927.1.1340"
"5","Tb927.1.1740"
"6","Tb927.1.1900"
"7","Tb927.1.3120"
"8","Tb927.1.3480"
"9","Tb927.1.3830"
"10","Tb927.1.4380"
"11","Tb927.2.2360"
"12","Tb927.2.2490"
"13","Tb927.2.3080"
"14","Tb927.2.4090"
"15","Tb927.2.4210"
"16","Tb927.2.5540"
"17","Tb927.3.590"
"18","Tb927.3.1000"
"19","Tb927.3.1360"
"20","Tb927.3.1610"
"21","Tb927.3.1830"
"22","Tb927.3.1840"
"23","Tb927.3.2100"
"24","Tb927.3.2490"
"25","Tb927.3.2820"
"26","Tb927.3.2840"
"27","Tb927.3.3060"
"28","Tb927.3.3190"
"29","Tb927.3.3270"
"30","Tb927.3.3610"
"31","Tb927.3.4080"
"32","Tb927.3.4090"
"33","Tb927.3.4470"
"34","Tb927.3.4510"
"35","Tb927.3.4520"
"36","Tb927.3.4690"
"37","Tb927.3.4700"
"38","Tb927.3.4720"
"39","Tb927.3.5380"
"40","Tb927.3.5580"
"41","Tb927.3.5810"
"42","Tb927.4.410"
"43","Tb927.4.540"
"44","Tb927.4.1420"
"45","Tb927.4.2250"
"46","Tb927.4.2430"
"47","Tb927.4.2480"
"48","Tb927.4.2500"
"49","Tb927.4.2810"
"50","Tb927.4.3130"
"51","Tb927.4.3380"
"52","Tb927.4.3560"
"53","Tb927.4.4430"
"54","Tb927.4.4740"
"55","Tb927.4.4840"
"56","Tb927.4.5010"
"57","Tb927.5.340"
"58","Tb927.5.800"
"59","Tb927.5.1120"
"60","Tb927.5.1210"
"61","Tb927.5.1350"
"62","Tb927.5.1870"
"63","Tb927.5.2330"
"64","Tb927.5.2640"
"65","Tb927.5.3320"
"66","Tb927.5.3360"
"67","Tb927.5.3580"
"68","Tb927.5.3660"
"69","Tb927.5.3910"
"70","Tb927.5.4570"
"71","Tb927.5.4580"
"72","Tb927.6.510"
"73","Tb06.3A7.270"
"74","Tb927.6.1550"
"75","Tb927.6.1570"
"76","Tb927.6.2140"
"77","Tb927.6.2460"
"78","Tb927.6.3170"
"79","Tb927.6.4120"
"80","Tb927.6.4210"
"81","Tb927.6.4250"
"82","Tb927.7.660"
"83","Tb927.7.1670"
"84","Tb927.7.2420"
"85","Tb927.7.4160"
"86","Tb927.7.4770"
"87","Tb927.7.4970"
"88","Tb927.7.5220"
"89","Tb927.7.6270"
"90","Tb927.7.7320"
"91","Tb927.7.7520"
"92","Tb927.8.720"
"93","Tb927.8.1280"
"94","Tb927.8.2540"
"95","Tb927.8.2660"
"96","Tb927.8.3080"
"97","Tb927.8.3720"
"98","Tb927.8.4430"
"99","Tb927.8.4460"
"100","Tb927.8.4600"
"101","Tb927.8.4690"
"102","Tb927.8.5600"
"103","Tb927.8.5680"
"104","Tb927.8.5760"
"105","Tb927.8.6000"
"106","Tb927.8.6070"
"107","Tb927.8.6100"
"108","Tb927.8.6110"
"109","Tb927.8.6290"
"110","Tb927.8.6380"
"111","Tb927.8.7200"
"112","Tb927.8.7410"
"113","Tb927.8.7990"
"114","Tb927.8.8070"
"115","Tb927.9.3640"
"116","Tb927.9.4210"
"117","Tb927.9.4330"
"118","Tb927.9.4690"
"119","Tb927.9.5350"
"120","Tb927.9.7770"
"121","Tb927.9.10820"
"122","Tb927.9.11790"
"123","Tb927.9.11800"
"124","Tb927.9.14070"
"125","Tb927.10.660"
"126","Tb927.10.1040"
"127","Tb927.10.1990"
"128","Tb927.10.2010"
"129","Tb927.10.2020"
"130","Tb927.10.3660"
"131","Tb927.10.4770"
"132","Tb927.10.5620"
"133","Tb927.10.6600"
"134","Tb927.10.6780"
"135","Tb927.10.6790"
"136","Tb927.10.6930"
"137","Tb927.10.7540"
"138","Tb927.10.7960"
"139","Tb927.10.8800"
"140","Tb927.10.8810"
"141","Tb927.10.9850"
"142","Tb927.10.10610"
"143","Tb927.10.10740"
"144","Tb927.10.11140"
"145","Tb927.10.13290"
"146","Tb927.10.13630"
"147","Tb927.10.13740"
"148","Tb927.10.13900"
"149","Tb927.10.14160"
"150","Tb927.11.2170"
"151","Tb927.11.2430"
"152","Tb927.11.3060"
"153","Tb927.11.3350"
"154","Tb927.11.4200"
"155","Tb927.11.5290"
"156","Tb927.11.5440"
"157","Tb927.11.5720"
"158","Tb927.11.7290"
"159","Tb11.02.5420"
"160","Tb927.11.7800"
"161","Tb927.11.8140"
"162","Tb927.11.8220"
"163","Tb927.11.8380"
"164","Tb927.11.9390"
"165","Tb927.11.10920"
"166","Tb927.11.12200"
"167","Tb927.11.12520"
"168","Tb927.11.12600"
"169","Tb927.11.12870"
"170","Tb927.11.13630"
"171","Tb927.11.14070"
"172","Tb927.11.15050"
"173","Tb927.11.15140"
"174","Tb927.11.15850"
"175","Tb927.11.15870"
"176","Tb927.11.16010"
